,zpid,latestPrice,numOfBathrooms,livingAreaSqFt,numOfBedrooms,avgSchoolRating,numOfStories,MedianStudentsPerTeacher,numOfHighSchools,longitude,numOfPrimarySchools,zipcode,propertyTaxRate,latest_saledate,latest_salemonth,latest_saleyear
55,241932962,325000.0,3.0,2068.0,4,3.6666666666666665,2,12,1,-97.6977310180664,1,78744,1.98,2020-08-18,8,2020
56,64729016,250000.0,2.0,2736.0,4,3.333333333333333,1,14,1,-97.69129943847656,1,78719,1.98,2020-08-13,8,2020
57,70355962,198500.0,2.0,1807.0,4,3.0,1,13,1,-97.58032989501952,1,78725,1.98,2020-04-13,4,2020
58,29376490,485000.0,3.0,2956.0,5,8.0,1,15,1,-97.82511138916016,1,78726,1.98,2020-10-30,10,2020
59,29366907,5495000.0,8.0,8800.0,5,7.0,3,16,1,-97.90081787109376,1,78732,1.98,2020-10-28,10,2020
60,250825472,440000.0,3.0,2595.0,5,8.333333333333334,2,16,1,-97.79917907714844,1,78717,2.21,2020-05-15,5,2020
61,89550834,225000.0,2.0,1420.0,3,3.0,1,13,1,-97.63726806640624,1,78725,1.98,2019-02-01,2,2019
62,64674953,207900.0,2.0,1929.0,3,3.0,1,13,1,-97.5873565673828,1,78725,1.98,2018-07-04,7,2018
63,29374483,575000.0,2.0,2170.0,4,8.666666666666666,1,16,1,-97.8055191040039,0,78750,1.98,2021-01-08,1,2021
64,29461422,200000.0,3.0,1592.0,3,3.0,2,13,1,-97.58354949951172,1,78725,1.98,2019-09-24,9,2019
65,116080970,675000.0,5.0,3837.0,5,7.666666666666668,2,14,1,-97.79280853271484,1,78717,2.21,2019-07-25,7,2019
66,70333905,975000.0,4.0,3450.0,4,7.0,1,16,1,-97.8576889038086,1,78726,1.98,2018-01-31,1,2018
67,29557482,259000.0,2.0,1239.0,3,5.333333333333333,1,12,1,-97.78694915771484,1,78729,2.21,2019-01-19,1,2019
68,241932948,275000.0,2.0,1449.0,3,3.6666666666666665,1,12,1,-97.69738006591795,1,78744,1.98,2020-02-10,2,2020
69,29461406,199999.0,2.0,1335.0,3,3.0,1,13,1,-97.58533477783205,1,78725,1.98,2019-08-23,8,2019
70,2081704483,268729.0,2.0,1514.0,3,3.0,1,13,1,-97.63460540771484,1,78725,1.98,2020-06-29,6,2020
71,116080962,625000.0,3.0,3111.0,4,7.666666666666668,1,14,1,-97.79401397705078,1,78717,2.21,2019-07-22,7,2019
72,29376480,435000.0,3.0,3113.0,4,8.0,2,15,1,-97.8240737915039,1,78726,1.98,2020-07-24,7,2020
73,241932946,285000.0,3.0,1973.0,3,3.6666666666666665,2,12,1,-97.696533203125,1,78744,1.98,2018-12-21,12,2018
74,29351492,399900.0,2.0,1487.0,2,7.0,1,16,1,-97.79354858398438,1,78731,1.98,2019-01-31,1,2019
75,241932900,215000.0,2.0,1370.0,3,3.0,1,13,1,-97.58175659179688,1,78725,1.98,2019-08-16,8,2019
76,29370900,519500.0,4.0,3055.0,4,7.0,2,16,1,-97.86306762695312,1,78726,1.98,2020-11-04,11,2020
77,110538990,450000.0,3.0,2283.0,4,7.0,2,16,1,-97.826904296875,1,78750,1.98,2018-08-16,8,2018
78,29372980,463700.0,3.0,3115.0,4,8.0,2,15,1,-97.8270034790039,1,78726,1.98,2018-10-02,10,2018
79,29459947,209900.0,2.0,1419.0,3,3.0,1,13,1,-97.58552551269533,1,78725,1.98,2020-03-03,3,2020
80,241932936,375000.0,5.0,2682.0,7,3.6666666666666665,2,12,1,-97.69666290283205,1,78744,1.98,2020-08-31,8,2020
81,89550803,229900.0,3.0,1936.0,4,3.0,2,13,1,-97.63555145263672,1,78725,1.98,2020-06-29,6,2020
82,29370898,549900.0,4.0,3794.0,4,7.0,2,16,1,-97.86441040039062,1,78726,1.98,2018-08-24,8,2018
83,29358990,690000.0,3.0,2967.0,4,7.0,2,17,1,-97.7984848022461,1,78750,1.98,2019-01-19,1,2019
84,116080957,584900.0,4.0,3787.0,5,7.666666666666668,2,14,1,-97.7944564819336,1,78717,2.21,2019-03-18,3,2019
85,111373282,287500.0,3.0,2314.0,5,2.6666666666666665,1,14,1,-97.66204071044922,1,78660,1.98,2018-06-30,6,2018
86,29375979,599800.0,3.0,2753.0,5,8.666666666666666,1,16,1,-97.79827880859376,0,78750,1.98,2019-09-30,9,2019
87,241932935,325000.0,3.0,2068.0,4,3.6666666666666665,2,12,1,-97.6968231201172,1,78744,1.98,2018-09-12,9,2018
