,zpid,latestPrice,numOfBathrooms,livingAreaSqFt,numOfBedrooms,avgSchoolRating,numOfStories,MedianStudentsPerTeacher,numOfHighSchools,longitude,numOfPrimarySchools,zipcode,propertyTaxRate,latest_saledate,latest_salemonth,latest_saleyear
10907,79981223,265000.0,2.0,1675.0,3,4.333333333333333,1,12,2,-97.64436340332033,1,78754,1.98,2019-09-04,9,2019
10908,79981222,248000.0,2.0,2110.0,4,4.333333333333333,1,12,2,-97.64417266845705,1,78754,1.98,2019-04-23,4,2019
10911,80106711,264788.0,4.0,2596.0,4,4.333333333333333,2,12,2,-97.64390563964844,1,78754,1.98,2019-01-07,1,2019
10917,80102691,255000.0,2.0,1801.0,4,4.333333333333333,1,12,2,-97.64261627197266,1,78754,1.98,2019-07-01,7,2019
10921,70339175,200000.0,2.0,1135.0,3,4.333333333333333,1,12,2,-97.63848114013672,1,78754,1.98,2019-11-21,11,2019
10922,2084214670,318990.0,2.5,2514.0,4,4.333333333333333,2,12,2,-97.64183807373048,1,78754,1.98,2019-10-17,10,2019
10923,83827170,250000.0,3.0,1591.0,3,4.333333333333333,2,12,2,-97.65186309814452,1,78754,1.98,2019-10-05,10,2019
10924,70339160,229999.0,3.0,1554.0,3,4.333333333333333,2,12,2,-97.63875579833984,1,78754,1.98,2019-08-08,8,2019
10925,70339148,135000.0,2.0,1378.0,3,4.333333333333333,1,12,2,-97.63921356201172,1,78754,1.98,2019-05-10,5,2019
10927,70339138,245000.0,3.0,1986.0,5,4.333333333333333,2,12,2,-97.63977813720705,1,78754,1.98,2019-06-07,6,2019
10931,241936111,264900.0,2.0,1740.0,3,4.333333333333333,1,12,2,-97.6537094116211,1,78754,1.98,2019-05-16,5,2019
10932,70339110,234900.0,3.0,1516.0,3,4.333333333333333,2,12,2,-97.63733673095705,1,78754,1.98,2019-07-18,7,2019
10934,63398109,248000.0,2.0,1772.0,3,4.333333333333333,1,12,2,-97.65528869628906,1,78754,1.98,2019-07-18,7,2019
10939,64858594,312500.0,2.0,2018.0,4,4.333333333333333,1,12,2,-97.66047668457033,1,78754,1.98,2019-04-26,4,2019
10943,64718587,349900.0,4.0,2502.0,4,4.333333333333333,2,12,2,-97.66291046142578,1,78754,1.98,2019-04-12,4,2019
10944,119625580,274900.0,2.0,1685.0,3,4.333333333333333,1,12,2,-97.6590576171875,1,78754,1.98,2019-07-16,7,2019
10954,70349041,235000.0,2.0,1410.0,3,4.333333333333333,1,12,2,-97.64720916748048,1,78754,1.98,2019-10-18,10,2019
10955,80094539,290000.0,2.0,2000.0,4,4.333333333333333,1,12,2,-97.6431884765625,1,78754,1.98,2019-10-16,10,2019
10956,70339039,299500.0,3.0,3183.0,4,4.333333333333333,2,12,2,-97.64347839355467,1,78754,1.98,2019-03-08,3,2019
10957,70339038,330000.0,3.0,2358.0,4,4.333333333333333,2,12,2,-97.64366912841795,1,78754,1.98,2019-04-22,4,2019
10959,70339027,279900.0,2.0,2020.0,3,4.333333333333333,1,12,2,-97.6436538696289,1,78754,1.98,2019-09-23,9,2019
10961,70339020,161000.0,2.0,1675.0,3,4.333333333333333,1,12,2,-97.64231872558594,1,78754,1.98,2019-09-23,9,2019
10962,80097017,325000.0,4.0,2736.0,5,4.333333333333333,2,12,2,-97.65069580078124,1,78754,1.98,2019-12-17,12,2019
10964,83824011,187000.0,3.0,1666.0,3,4.333333333333333,2,12,2,-97.65283203125,1,78754,1.98,2019-05-23,5,2019
10967,70339502,275000.0,2.0,1936.0,4,4.333333333333333,1,12,2,-97.65033721923828,1,78754,1.98,2019-06-28,6,2019
10971,29424454,269000.0,2.0,1810.0,3,5.0,1,11,2,-97.6142807006836,1,78754,1.98,2019-09-23,9,2019
10972,80101450,150000.0,3.0,1856.0,3,4.333333333333333,2,12,2,-97.61260223388672,1,78754,1.98,2019-03-29,3,2019
10974,29431946,119900.0,1.0,1095.0,3,4.333333333333333,1,12,2,-97.62261199951172,1,78653,1.98,2019-03-15,3,2019
10977,80095936,255000.0,3.0,2088.0,4,4.333333333333333,2,12,2,-97.61317443847656,1,78754,1.98,2019-06-28,6,2019
10979,29424430,245000.0,3.0,2270.0,4,5.0,2,11,2,-97.61331176757812,1,78754,1.98,2019-07-02,7,2019
10989,29424389,279900.0,3.0,2250.0,4,5.0,2,11,2,-97.61227416992188,1,78754,1.98,2019-04-15,4,2019
10992,94642885,229900.0,2.0,1466.0,3,5.0,1,11,2,-97.6179656982422,1,78754,1.98,2019-05-17,5,2019
10996,29424378,169500.0,2.0,2179.0,4,5.0,1,11,2,-97.6142349243164,1,78754,1.98,2019-02-09,2,2019
10997,94642876,249900.0,2.0,1704.0,3,5.0,1,11,2,-97.61675262451172,1,78754,1.98,2019-09-25,9,2019
10998,29424369,250000.0,3.0,2390.0,4,5.0,2,11,2,-97.61532592773438,1,78754,1.98,2019-08-14,8,2019
11009,94883318,275000.0,3.0,2573.0,3,5.0,2,11,2,-97.61905670166016,1,78754,1.98,2019-06-11,6,2019
11010,64597318,155000.0,2.0,2389.0,5,5.0,1,11,2,-97.61204528808594,1,78754,1.98,2019-03-26,3,2019
11011,145658310,340000.0,2.0,2344.0,4,5.0,1,11,2,-97.61450958251952,1,78754,1.98,2019-01-11,1,2019
11012,145658306,242000.0,2.0,1670.0,3,5.0,1,11,2,-97.6173324584961,1,78754,1.98,2019-04-04,4,2019
11018,80088262,209900.0,2.0,1341.0,3,4.333333333333333,1,12,2,-97.61467742919922,1,78754,1.98,2019-03-04,3,2019
11019,119632749,265000.0,3.0,1887.0,4,5.0,1,11,2,-97.61781311035156,1,78754,1.98,2019-04-25,4,2019
11020,29421747,260000.0,2.0,1915.0,3,5.0,1,11,2,-97.61275482177734,1,78754,1.98,2019-03-20,3,2019
11021,83830745,255000.0,2.0,1761.0,4,5.0,1,11,2,-97.61724853515624,1,78754,1.98,2019-09-27,9,2019
11022,29421741,239900.0,3.0,1883.0,4,5.0,1,11,2,-97.61163330078124,1,78754,1.98,2019-08-21,8,2019
11023,125914239,329000.0,3.0,2605.0,4,5.0,2,11,2,-97.62059783935548,1,78754,1.98,2019-04-29,4,2019
11027,145652498,299000.0,3.0,2268.0,4,5.0,2,11,2,-97.61505889892578,1,78754,1.98,2019-01-31,1,2019
11028,70338724,230000.0,2.0,1858.0,3,5.0,1,11,2,-97.6096649169922,1,78754,1.98,2019-05-31,5,2019
11031,64635218,249500.0,3.0,2088.0,4,5.0,2,11,2,-97.61292266845705,1,78754,1.98,2019-08-23,8,2019
11032,64444718,239000.0,2.0,2127.0,4,5.0,1,11,2,-97.61292266845705,1,78754,1.98,2019-02-20,2,2019
11033,70338710,235000.0,2.0,1858.0,3,5.0,1,11,2,-97.6100845336914,1,78754,1.98,2019-09-04,9,2019
