,zpid,latestPrice,numOfBathrooms,livingAreaSqFt,numOfBedrooms,avgSchoolRating,numOfStories,MedianStudentsPerTeacher,numOfHighSchools,longitude,numOfPrimarySchools,avgSchoolDistance,latitude,lotSizeSqFt,numOfPhotos,numPriceChanges,zipcode,propertyTaxRate,yearBuilt,latest_saledate,latest_salemonth,latest_saleyear
105,305430992,454500.0,3.0,2508.0,3,3.6666666666666665,1,11,2,-97.6419677734375,1,2.9333333333333336,30.29319190979004,5749.0,44,1,78724,1.98,2018,2020-10-19,10,2020
106,251030246,285000.0,2.0,1791.0,3,3.6666666666666665,1,12,1,-97.6442642211914,1,1.2,30.41343116760254,12196.8,26,1,78660,1.98,2017,2020-07-02,7,2020
108,69811366,199000.0,2.0,1268.0,3,3.0,1,13,1,-97.5913543701172,1,1.7333333333333334,30.23320579528809,4007.0,19,2,78725,1.98,2010,2020-02-11,2,2020
110,29370873,429000.0,4.0,3033.0,4,7.0,2,16,1,-97.86214447021484,1,2.033333333333333,30.423702239990234,11325.6,32,9,78726,1.98,2000,2020-01-22,1,2020
112,29375973,629000.0,3.0,2340.0,4,8.666666666666666,2,16,1,-97.7947235107422,0,0.9,30.438554763793945,13503.6,77,3,78750,1.98,1977,2020-10-22,10,2020
114,29370860,345000.0,4.0,3675.0,5,7.0,2,16,1,-97.86241912841795,1,2.1333333333333333,30.424427032470703,7492.0,55,6,78726,1.98,2002,2020-11-17,11,2020
115,249890717,255000.0,2.0,1641.0,3,3.0,1,13,1,-97.6354522705078,1,3.1666666666666665,30.21903991699219,5000.0,1,1,78725,1.98,2017,2020-03-30,3,2020
116,2082177903,282226.0,2.0,1413.0,3,3.6666666666666665,1,12,1,-97.6934585571289,1,2.9666666666666663,30.17507362365723,5532.0,8,1,78744,1.98,2019,2020-02-27,2,2020
119,29358983,750000.0,4.0,2922.0,3,7.0,2,17,1,-97.79732513427734,1,2.833333333333333,30.37546539306641,8319.0,110,2,78750,1.98,1982,2020-09-11,9,2020
120,29374973,475000.0,3.0,2428.0,3,8.0,2,15,1,-97.82764434814452,1,1.4666666666666668,30.43508529663086,7405.0,38,1,78726,1.98,1996,2020-11-30,11,2020
126,58299481,398900.0,2.0,2089.0,3,7.0,1,17,1,-97.78571319580078,1,2.2,30.37837791442871,20037.6,1,4,78750,1.98,1971,2020-12-07,12,2020
131,29374967,519900.0,3.0,2766.0,4,8.0,2,15,1,-97.82756805419922,1,1.4,30.436147689819336,6054.0,55,1,78726,1.98,1994,2020-09-21,9,2020
136,120898222,299900.0,3.0,2505.0,4,2.6666666666666665,2,14,1,-97.6619644165039,1,1.4,30.43280029296875,6141.0,60,5,78660,1.98,2013,2020-10-08,10,2020
142,58300466,355000.0,3.0,1616.0,3,8.666666666666666,2,16,1,-97.80654907226562,0,0.9333333333333332,30.444562911987305,8520.0,27,2,78750,1.98,2000,2020-09-10,9,2020
143,29438720,310000.0,2.0,2046.0,4,3.0,1,14,1,-97.64974975585938,0,1.0,30.40708923339844,6795.0,28,1,78753,1.98,1993,2020-05-28,5,2020
146,70352465,1025000.0,5.0,4558.0,5,8.333333333333334,2,17,1,-97.91254425048828,1,2.5,30.355552673339844,28749.6,58,2,78732,1.98,2007,2020-08-06,8,2020
147,145655881,339900.0,2.0,2095.0,3,3.6666666666666665,1,12,1,-97.69696044921876,1,2.9,30.1763916015625,5488.0,34,1,78744,1.98,2016,2020-07-09,7,2020
148,2079153478,515000.0,3.0,2623.0,4,7.0,1,16,1,-97.84323120117188,1,0.8666666666666667,30.399572372436523,8363.0,40,2,78726,1.98,2016,2020-07-30,7,2020
149,29366849,625000.0,2.0,1947.0,2,7.0,2,16,1,-97.88896942138672,1,3.4,30.415252685546875,27442.8,81,2,78732,1.98,1987,2020-06-18,6,2020
151,58265966,650000.0,3.0,3352.0,5,7.666666666666668,2,14,1,-97.81514739990234,1,0.7000000000000001,30.452693939208984,8319.0,40,1,78750,2.21,2001,2020-03-12,3,2020
158,29376465,937000.0,4.0,3695.0,4,8.666666666666666,2,16,1,-97.82142639160156,0,1.7666666666666666,30.44224166870117,36590.4,40,1,78726,1.98,1999,2020-03-17,3,2020
167,29353978,1499000.0,5.0,5099.0,5,7.0,2,16,1,-97.83673858642578,1,1.9333333333333336,30.36469078063965,53143.2,100,1,78730,1.98,1999,2020-08-14,8,2020
170,29375964,625000.0,3.0,2116.0,3,8.666666666666666,1,16,1,-97.79505920410156,0,0.8666666666666667,30.44091606140137,16117.2,32,1,78750,1.98,1976,2020-12-22,12,2020
171,116080928,729000.0,3.0,3409.0,4,7.666666666666668,1,14,1,-97.79361724853516,1,3.266666666666667,30.48698425292969,10585.0,38,1,78717,2.21,2013,2020-05-14,5,2020
176,29465145,220000.0,2.0,1554.0,4,3.0,1,13,1,-97.62696838378906,1,2.8000000000000003,30.22534942626953,14810.4,37,1,78725,1.98,1983,2020-08-31,8,2020
177,80090962,265000.0,2.0,1704.0,3,3.6666666666666665,1,11,2,-97.63169860839844,1,3.1666666666666665,30.27394294738769,5662.0,68,4,78724,1.98,2007,2020-07-15,7,2020
178,29374964,445000.0,3.0,2852.0,3,8.0,2,15,1,-97.82742309570312,1,1.4333333333333336,30.4356632232666,7013.0,11,4,78726,1.98,1996,2020-02-03,2,2020
179,120896203,315000.0,2.5,2505.0,4,2.6666666666666665,2,14,1,-97.6622543334961,1,1.4,30.432939529418945,6098.0,70,1,78660,1.98,2013,2020-07-24,7,2020
183,185217426,429900.0,2.0,2191.0,3,8.333333333333334,1,16,1,-97.7973403930664,1,1.9,30.495710372924805,8145.0,27,1,78717,2.21,2008,2020-11-05,11,2020
184,124843021,4100000.0,10.0,9866.0,6,8.333333333333334,2,17,1,-97.9269790649414,1,3.4333333333333336,30.33895874023437,172497.6,149,3,78732,1.98,2014,2020-12-23,12,2020
186,249710345,385000.0,3.0,2420.0,4,3.6666666666666665,2,12,1,-97.71443939208984,1,3.1666666666666665,30.15879249572754,6926.0,38,1,78744,1.98,2018,2020-06-15,6,2020
188,83814445,1225000.0,5.0,5027.0,4,7.0,2,16,1,-97.85681915283205,1,2.0333333333333337,30.428436279296875,33976.8,40,1,78726,1.98,2006,2020-01-17,1,2020
190,124154926,459990.0,3.0,2425.0,3,7.666666666666668,1,14,1,-97.78875732421876,1,3.1333333333333333,30.486351013183604,5662.0,54,7,78717,2.21,2016,2020-11-20,11,2020
192,2087686692,289000.0,2.0,1780.0,4,3.0,1,14,1,-97.64022064208984,0,1.2333333333333332,30.41032409667969,5998.0,44,1,78660,1.98,2017,2020-06-03,6,2020
197,251035839,439000.0,3.0,2501.0,4,3.6666666666666665,1,12,1,-97.71968841552734,1,3.4333333333333336,30.1521110534668,7405.0,81,4,78744,1.98,2019,2020-08-03,8,2020
199,29396958,225000.0,2.0,1306.0,3,3.6666666666666665,1,11,2,-97.64612579345705,1,3.1666666666666665,30.28889465332031,4617.0,31,1,78724,1.98,1980,2020-06-10,6,2020
207,29370822,413900.0,2.0,2218.0,3,7.0,1,16,1,-97.86082458496094,1,2.0,30.423587799072266,8712.0,31,3,78726,1.98,1989,2020-04-29,4,2020
211,29374462,750000.0,3.0,2373.0,4,8.666666666666666,1,16,1,-97.8052978515625,0,1.1333333333333333,30.434844970703125,14810.4,76,2,78750,1.98,1976,2020-07-30,7,2020
225,29334450,699000.0,4.0,4021.0,4,5.666666666666668,2,16,1,-97.85768127441406,1,4.9,30.29571914672852,13939.2,40,9,78735,1.98,2001,2020-11-20,11,2020
226,64901960,598000.0,4.0,3559.0,4,8.0,2,15,1,-97.81967163085938,1,1.4666666666666668,30.431655883789062,8842.0,72,3,78726,1.98,2004,2020-07-24,7,2020
229,145657822,254000.0,2.0,2047.0,4,3.0,1,13,1,-97.59125518798828,1,1.7,30.23415184020996,7026.0,24,4,78725,1.98,2015,2020-08-13,8,2020
231,29370800,579000.0,4.0,3976.0,5,7.0,2,16,1,-97.859130859375,1,2.0,30.4251708984375,9757.0,32,4,78726,1.98,2002,2020-06-12,6,2020
236,29358963,359000.0,3.0,2498.0,4,7.0,2,17,1,-97.79554748535156,1,2.733333333333333,30.37553596496582,9931.0,65,5,78750,1.98,1985,2020-08-10,8,2020
237,29341440,1995000.0,4.0,4771.0,5,9.0,3,15,0,-97.81710815429688,0,2.1,30.31850242614746,30056.4,85,3,78746,1.98,1990,2020-11-24,11,2020
241,144334371,199950.0,2.0,1589.0,4,3.0,1,13,1,-97.58674621582033,1,1.6000000000000003,30.24240303039551,5532.0,15,2,78725,1.98,1986,2020-01-21,1,2020
242,29396923,230000.0,2.0,1190.0,3,3.6666666666666665,1,11,2,-97.64567565917967,1,3.1333333333333333,30.29047966003418,4791.0,22,4,78724,1.98,2005,2020-12-09,12,2020
243,121655462,405000.0,3.0,2299.0,4,7.0,2,16,1,-97.82899475097656,1,0.5333333333333333,30.39280128479004,6368.0,46,1,78750,1.98,2013,2020-05-13,5,2020
244,114405939,1100000.0,4.0,4380.0,4,7.0,2,16,1,-97.82962799072266,1,5.433333333333334,30.33772277832031,16552.8,33,5,78730,1.98,2012,2020-01-21,1,2020
248,83821443,1400000.0,5.0,4500.0,5,7.0,2,16,1,-97.8867416381836,1,3.3000000000000003,30.418142318725582,11761.2,50,1,78732,1.98,2006,2020-10-19,10,2020
249,2108947312,194000.0,2.5,1250.0,2,3.0,2,13,1,-97.57284545898438,1,2.233333333333333,30.23692321777344,5314.0,22,3,78725,1.98,2013,2020-01-09,1,2020
252,58298457,2650000.0,5.0,5921.0,5,7.0,1,16,1,-97.8431396484375,1,1.7666666666666668,30.369537353515625,129373.2,84,2,78730,1.98,2001,2020-10-27,10,2020
254,305432656,335269.0,3.0,1753.0,3,4.666666666666667,2,15,1,-97.66085052490234,1,1.5666666666666669,30.44114112854004,4791.0,18,1,78660,1.98,2020,2020-05-28,5,2020
255,83823430,535000.0,4.0,3297.0,4,8.333333333333334,2,17,1,-97.91183471679688,1,2.566666666666667,30.34814262390137,7405.0,67,6,78732,1.98,2007,2020-02-24,2,2020
258,251036682,505847.0,3.0,2766.0,4,3.6666666666666665,1,12,1,-97.72132110595705,1,3.6666666666666665,30.14763641357422,8398.0,16,4,78744,1.98,2020,2020-09-17,9,2020
259,29377453,574887.0,3.0,2698.0,4,8.666666666666666,2,16,1,-97.80756378173828,0,0.9666666666666668,30.444908142089844,13939.2,65,2,78750,1.98,1984,2020-02-13,2,2020
260,58298456,1695000.0,6.0,4407.0,4,7.0,2,16,1,-97.8440399169922,1,1.8,30.36892890930176,102366.0,65,2,78730,1.98,2002,2020-08-31,8,2020
264,114405941,750000.0,4.0,4056.0,4,8.333333333333334,1,17,1,-97.9033203125,1,2.766666666666667,30.3416805267334,13939.2,29,4,78732,1.98,2012,2020-07-01,7,2020
265,29377451,869999.0,4.0,3542.0,4,8.666666666666666,1,16,1,-97.80763244628906,0,1.0,30.444305419921875,16117.2,29,4,78750,1.98,1982,2020-06-15,6,2020
267,58298866,475000.0,2.0,1490.0,3,7.0,1,17,1,-97.78865051269533,1,2.333333333333333,30.37455940246582,5052.0,29,2,78750,1.98,1980,2020-12-14,12,2020
272,145656291,395000.0,3.0,2515.0,4,3.6666666666666665,2,12,1,-97.72289276123048,1,3.0666666666666664,30.164386749267567,6534.0,1,2,78744,1.98,2016,2020-01-10,1,2020
274,83827917,615000.0,4.0,3458.0,4,8.333333333333334,2,17,1,-97.90857696533205,1,2.766666666666667,30.342079162597656,8842.0,52,4,78732,1.98,2010,2020-07-28,7,2020
275,241930950,557000.0,4.0,3013.0,4,7.0,2,16,1,-97.84231567382812,1,1.9666666666666668,30.43212890625,14810.4,22,4,78726,1.98,2017,2020-05-29,5,2020
278,2080854860,200000.0,3.0,1321.0,3,3.0,2,13,1,-97.57331848144533,1,2.2,30.239591598510746,3571.0,32,1,78725,1.98,2015,2020-03-23,3,2020
279,29368684,2750000.0,6.5,6392.0,4,7.0,2,16,1,-97.89109802246094,1,3.6,30.41872787475586,69260.40000000001,8,3,78732,1.98,1987,2020-04-30,4,2020
286,83819673,865000.0,3.0,2895.0,3,7.0,3,16,1,-97.8929443359375,1,3.6666666666666665,30.41588020324707,11761.2,60,1,78732,1.98,2006,2020-07-23,7,2020
290,29344920,8999000.0,8.0,7745.0,7,9.333333333333334,2,14,0,-97.8466567993164,0,3.4666666666666663,30.33722305297852,87120.0,1,6,78733,1.98,1985,2020-08-04,8,2020
293,29368449,545000.0,2.0,2338.0,3,9.0,2,16,1,-97.80438232421876,1,1.7,30.420978546142567,12632.4,39,9,78750,1.98,1985,2020-06-16,6,2020
296,29368659,549500.0,3.0,2162.0,3,7.0,2,16,1,-97.88487243652344,1,3.233333333333333,30.41935539245605,21780.0,81,8,78732,1.98,1991,2020-04-30,4,2020
298,58298947,798500.0,4.0,2927.0,4,7.0,2,17,1,-97.80010986328124,1,3.0,30.37572479248047,9452.0,75,4,78750,1.98,1984,2020-08-05,8,2020
304,64750934,849900.0,2.0,1850.0,3,8.0,1,14,0,-97.8708267211914,0,4.033333333333333,30.33656883239746,11761.2,8,1,78733,1.98,2020,2020-03-18,3,2020
307,120290135,304000.0,3.0,2486.0,3,2.6666666666666665,2,14,1,-97.66094207763672,1,1.4,30.43230438232422,6229.0,1,1,78660,1.98,2013,2020-07-20,7,2020
311,70330433,625000.0,0.0,4941.0,5,8.0,1,14,0,-97.85832214355467,0,3.6,30.33235740661621,44431.2,15,11,78733,1.98,2020,2020-09-28,9,2020
313,29361022,849500.0,3.0,2667.0,4,7.0,1,17,1,-97.78658294677734,1,2.266666666666666,30.37772750854492,21780.0,50,2,78750,1.98,1968,2020-12-14,12,2020
315,29376446,549900.0,3.0,2829.0,4,8.0,2,15,1,-97.8259048461914,1,1.3,30.440948486328125,8712.0,39,1,78726,1.98,1991,2020-11-24,11,2020
316,2080460279,399900.0,3.0,2519.0,3,3.6666666666666665,1,12,1,-97.7193603515625,1,3.0666666666666664,30.16262626647949,9496.0,23,1,78744,1.98,2017,2020-04-17,4,2020
319,70330432,325000.0,4.0,5800.0,5,8.0,1,14,0,-97.85801696777344,0,3.633333333333333,30.332693099975582,43995.6,61,7,78733,1.98,2016,2020-08-12,8,2020
322,121719897,550000.0,3.0,3021.0,4,7.666666666666668,2,14,1,-97.78954315185548,1,3.233333333333333,30.49062728881836,6882.0,37,1,78717,2.21,2015,2020-11-23,11,2020
324,29368642,564900.0,4.0,3422.0,4,7.0,2,16,1,-97.86302947998048,1,2.033333333333333,30.42227935791016,7235.0,114,3,78726,1.98,2004,2020-11-19,11,2020
330,145654553,285000.0,2.0,1491.0,3,3.0,1,13,1,-97.63418579101562,1,3.1333333333333333,30.221006393432614,6098.0,2,2,78725,1.98,2017,2020-11-05,11,2020
331,29341408,1295000.0,5.0,4700.0,5,9.0,3,15,0,-97.81330871582033,0,2.05,30.319255828857425,33105.6,78,3,78746,1.98,1994,2020-10-29,10,2020
333,29376445,620000.0,4.0,2710.0,4,8.0,2,15,1,-97.82589721679688,1,1.3,30.441150665283203,9147.0,81,6,78726,1.98,1988,2020-11-13,11,2020
338,88014884,379800.0,3.0,1970.0,3,8.333333333333334,2,16,1,-97.79045867919922,1,1.7,30.498477935791016,6141.0,82,3,78717,2.21,2003,2020-07-21,7,2020
340,29370832,540000.0,3.0,2871.0,4,7.0,1,16,1,-97.85972595214844,1,1.9333333333333336,30.42353630065918,9147.0,27,1,78726,1.98,1989,2020-12-21,12,2020
343,70338351,207500.0,3.0,1550.0,4,2.6666666666666665,2,13,1,-97.5832748413086,1,2.033333333333333,30.24901962280273,8712.0,21,7,78724,1.98,2013,2020-04-10,4,2020
347,29343407,975000.0,5.0,4269.0,4,9.0,2,15,0,-97.80477905273438,0,2.05,30.330684661865234,22651.2,42,6,78746,1.98,1983,2020-09-18,9,2020
350,29374944,480000.0,3.0,2455.0,5,8.0,2,15,1,-97.82595825195312,1,1.366666666666667,30.435869216918945,7840.0,45,3,78726,1.98,1993,2020-06-15,6,2020
352,249891260,405000.0,4.0,2766.0,4,3.6666666666666665,2,12,1,-97.71268463134766,1,3.1666666666666665,30.157695770263672,6011.0,37,1,78744,1.98,2018,2020-09-09,9,2020
356,29368632,265000.0,2.0,2051.0,3,7.0,1,16,1,-97.86056518554688,1,1.9333333333333336,30.42250633239746,7361.0,1,1,78726,1.98,1992,2020-09-22,9,2020
358,29372944,622500.0,4.0,3962.0,4,8.666666666666666,2,16,1,-97.81062316894533,0,1.5333333333333332,30.428726196289062,13068.0,86,3,78750,1.98,1999,2020-07-24,7,2020
360,63837777,175000.0,2.0,1278.0,3,3.0,1,13,1,-97.5876693725586,1,1.8333333333333333,30.23153114318848,4626.0,54,3,78725,1.98,2004,2020-08-14,8,2020
363,119984117,300000.0,3.0,2413.0,3,2.6666666666666665,2,14,1,-97.66364288330078,1,1.3,30.43283271789551,6577.0,28,1,78660,1.98,2013,2020-01-30,1,2020
366,29343404,1250000.0,5.0,5865.0,4,9.0,2,15,0,-97.80536651611328,0,2.0,30.33127021789551,18730.8,1,1,78746,1.98,1983,2020-08-14,8,2020
367,111373376,575000.0,4.0,2972.0,4,8.333333333333334,2,17,1,-97.91032409667967,1,2.833333333333333,30.34079170227051,9931.0,39,2,78732,1.98,2011,2020-05-22,5,2020
368,29376441,510000.0,2.0,2580.0,4,8.0,1,15,1,-97.82626342773438,1,1.3,30.441387176513672,9452.0,67,2,78726,1.98,1991,2020-07-22,7,2020
371,29342426,420000.0,2.0,1499.0,3,8.0,1,14,0,-97.87335968017578,0,3.633333333333333,30.32803726196289,19602.0,39,4,78733,1.98,1984,2020-07-14,7,2020
373,251030758,350000.0,3.0,2360.0,3,3.6666666666666665,2,12,1,-97.6939926147461,1,2.9666666666666663,30.17500305175781,5662.0,68,1,78744,1.98,2017,2020-10-22,10,2020
376,125792898,1325000.0,4.0,3895.0,4,7.0,1,16,1,-97.82910919189452,1,5.333333333333333,30.33440589904785,17859.6,40,1,78730,1.98,2015,2020-12-18,12,2020
381,70331933,1400000.0,4.0,4237.0,4,7.0,2,16,1,-97.8138656616211,1,4.8,30.36246490478516,132858.0,38,3,78730,1.98,2006,2020-03-09,3,2020
382,29368601,242200.0,3.0,3165.0,5,7.0,2,16,1,-97.86131286621094,1,1.9333333333333336,30.42037010192871,13068.0,34,13,78726,1.98,1989,2020-01-24,1,2020
392,64505930,1125000.0,4.0,3764.0,3,7.0,2,16,1,-97.81139373779295,1,5.266666666666667,30.38124084472656,69696.0,46,1,78730,1.98,2002,2020-04-01,4,2020
394,88019366,384900.0,3.0,1884.0,3,8.333333333333334,2,16,1,-97.7863998413086,1,1.6,30.503122329711925,5662.0,102,2,78717,2.21,2005,2020-08-11,8,2020
395,241936607,265000.0,2.0,1359.0,3,3.6666666666666665,1,12,1,-97.64312744140624,1,1.2,30.413265228271484,12196.8,36,1,78660,1.98,2016,2020-11-29,11,2020
396,29374432,619900.0,3.0,2526.0,3,8.666666666666666,1,16,1,-97.80355834960938,0,1.0333333333333334,30.43653678894043,16552.8,38,3,78750,1.98,1976,2020-07-27,7,2020
398,249891254,320000.0,2.0,1754.0,3,3.6666666666666665,1,12,1,-97.71491241455078,1,3.1666666666666665,30.15859031677246,6534.0,70,2,78744,1.98,2017,2020-06-08,6,2020
401,79981846,209000.0,2.0,1236.0,4,3.0,1,13,1,-97.57785034179688,1,2.0,30.24086570739746,5880.0,54,2,78725,1.98,2009,2020-05-29,5,2020
406,29368581,475000.0,2.0,2495.0,4,7.0,1,16,1,-97.86126708984376,1,1.9333333333333336,30.422569274902344,6625.0,40,2,78726,1.98,1993,2020-06-12,6,2020
410,70992361,212500.0,2.5,1985.0,3,8.333333333333334,2,16,1,-97.79515075683594,1,1.7333333333333334,30.497051239013672,6011.0,1,1,78717,2.21,2006,2020-06-30,6,2020
414,29372930,379950.0,3.0,2846.0,4,8.666666666666666,2,16,1,-97.81375122070312,0,1.6000000000000003,30.430532455444336,13939.2,25,7,78750,1.98,1984,2020-02-24,2,2020
419,29459839,221000.0,3.0,1895.0,4,3.0,1,13,1,-97.58499145507812,1,1.7,30.245859146118164,6446.0,35,1,78725,1.98,1989,2020-06-11,6,2020
