,zpid,latestPrice,numOfBathrooms,livingAreaSqFt,numOfBedrooms,avgSchoolRating,numOfStories,MedianStudentsPerTeacher,numOfHighSchools,longitude,numOfPrimarySchools,zipcode,propertyTaxRate,latest_saledate,latest_salemonth,latest_saleyear,averagePrice
87,29368658,450000.0,3.0,2667.0,3,7.0,2,16,1,-97.8852996826172,1,78732,1.98,2018-05-04,5,2018,701210.957219251
88,29341415,1400000.0,5.0,5234.0,5,9.0,3,15,0,-97.8161087036133,0,78746,1.98,2018-03-02,3,2018,1428643.18644068
89,58265946,480000.0,3.0,3282.0,4,7.66666666666667,2,14,1,-97.8171920776367,1,78750,2.21,2018-10-22,10,2018,546095.760416667
90,241938280,437500.0,3.0,2275.0,4,3.66666666666667,1,12,1,-97.7205581665039,1,78744,1.98,2018-11-16,11,2018,235868.018691589
91,63835353,119900.0,2.0,1650.0,3,2.66666666666667,1,13,1,-97.5826034545898,1,78724,1.98,2018-09-05,9,2018,254167.573529412
92,70352485,715000.0,5.0,4060.0,4,8.33333333333333,2,17,1,-97.9112777709961,1,78732,1.98,2018-02-17,2,2018,701210.957219251
93,29344931,3175000.0,5.0,4919.0,4,9.33333333333333,2,14,0,-97.8477172851562,0,78733,1.98,2018-07-31,7,2018,981210.142857143
94,29459853,160000.0,2.0,1419.0,3,3.0,1,13,1,-97.5860214233398,1,78725,1.98,2018-12-13,12,2018,200953.288461538
95,89663390,315000.0,3.0,2234.0,3,8.33333333333333,2,16,1,-97.7907180786133,1,78717,2.21,2018-05-19,5,2018,407792.52173913
96,29373139,598000.0,2.0,1656.0,2,7.0,2,16,1,-97.8735046386719,1,78726,1.98,2018-04-28,4,2018,483669.983333333
97,83124879,495000.0,3.0,2717.0,4,8.33333333333333,2,17,1,-97.9109878540039,1,78732,1.98,2018-03-31,3,2018,701210.957219251
98,70338352,215000.0,2.0,1749.0,4,2.66666666666667,1,13,1,-97.5823440551758,1,78724,1.98,2018-11-10,11,2018,254167.573529412
99,29351440,399000.0,2.0,1644.0,3,7.0,1,16,1,-97.7917098999023,1,78731,1.98,2018-11-30,11,2018,811224.095238095
100,29368445,475000.0,3.0,3114.0,4,9.0,2,16,1,-97.8054656982422,1,78750,1.98,2018-06-09,6,2018,546095.760416667
101,29342428,399000.0,2.0,1848.0,3,8.0,1,14,0,-97.8729782104492,0,78733,1.98,2018-04-21,4,2018,981210.142857143
102,88013884,325000.0,3.0,2256.0,3,8.33333333333333,2,16,1,-97.7890853881836,1,78717,2.21,2018-10-09,10,2018,407792.52173913
103,83824877,749900.0,5.0,4589.0,4,8.66666666666667,2,17,1,-97.9090270996094,1,78732,1.98,2018-04-12,4,2018,701210.957219251
104,29396897,205000.0,2.0,1200.0,3,3.66666666666667,1,11,2,-97.6474533081055,1,78724,1.98,2018-02-22,2,2018,254167.573529412
105,29461349,175000.0,2.0,1662.0,3,3.0,1,13,1,-97.586540222168,1,78725,1.98,2018-10-17,10,2018,200953.288461538
106,70336926,1095000.0,4.0,3983.0,4,5.66666666666667,2,16,1,-97.876106262207,1,78735,1.98,2018-09-17,9,2018,979155.621052632
107,58298435,350000.0,2.0,1799.0,3,7.0,1,17,1,-97.7883071899414,1,78750,1.98,2018-06-14,6,2018,546095.760416667
108,29368631,389900.0,3.0,2761.0,3,7.0,2,16,1,-97.8606872558594,1,78726,1.98,2018-05-18,5,2018,483669.983333333
109,241936613,289500.0,3.0,2112.0,4,3.66666666666667,2,12,1,-97.6426467895508,1,78660,1.98,2018-06-15,6,2018,250109.625
110,89551873,4950000.0,10.0,13731.0,5,8.33333333333333,2,17,1,-97.9127197265625,1,78732,1.98,2018-08-17,8,2018,701210.957219251
111,83827393,205000.0,2.0,1221.0,3,3.66666666666667,1,11,2,-97.6284103393555,1,78724,1.98,2018-05-30,5,2018,254167.573529412
112,29374438,623000.0,4.0,2904.0,4,8.66666666666667,1,16,1,-97.8050003051758,0,78750,1.98,2018-06-08,6,2018,546095.760416667
113,29342422,420000.0,2.0,1406.0,3,8.0,1,14,0,-97.8727264404297,0,78733,1.98,2018-11-17,11,2018,981210.142857143
114,80104872,395000.0,2.0,2045.0,3,8.33333333333333,1,17,1,-97.9159622192383,1,78732,1.98,2018-03-26,3,2018,701210.957219251
115,29357371,1100000.0,4.0,3020.0,5,7.0,2,16,1,-97.9154891967773,1,78734,1.98,2018-07-23,7,2018,1036187.5
116,29344897,774000.0,3.0,2812.0,3,7.0,1,16,1,-97.820686340332,1,78730,1.98,2018-07-20,7,2018,937407.232876712
117,64737390,269990.0,3.0,1511.0,3,3.66666666666667,2,11,2,-97.6451797485352,1,78724,1.98,2018-10-10,10,2018,254167.573529412
118,29368593,410000.0,4.0,3274.0,4,7.0,2,16,1,-97.8625106811523,1,78726,1.98,2018-02-24,2,2018,483669.983333333
119,29357369,1595000.0,3.0,2944.0,3,7.0,1,16,1,-97.9154739379883,1,78734,1.98,2018-07-23,7,2018,1036187.5
120,120898908,595000.0,4.0,3029.0,4,8.33333333333333,1,17,1,-97.9064331054688,1,78732,1.98,2018-08-10,8,2018,701210.957219251
121,29376431,445000.0,4.0,3346.0,5,8.0,2,15,1,-97.8259582519531,1,78726,1.98,2018-04-06,4,2018,483669.983333333
122,29343397,1215000.0,6.0,4700.0,5,9.0,2,15,0,-97.8049621582031,0,78746,1.98,2018-05-25,5,2018,1428643.18644068
123,111371886,240000.0,3.0,2491.0,5,3.66666666666667,2,11,2,-97.6242141723633,1,78724,1.98,2018-10-02,10,2018,254167.573529412
124,29339395,2489000.0,7.0,5506.0,5,9.0,1,15,0,-97.8300094604492,0,78746,1.98,2018-06-08,6,2018,1428643.18644068
125,80104386,240000.0,2.0,1761.0,4,3.66666666666667,1,11,2,-97.6317443847656,1,78724,1.98,2018-04-02,4,2018,254167.573529412
126,63835340,175000.0,2.0,1326.0,3,2.66666666666667,1,13,1,-97.5806427001953,1,78724,1.98,2018-08-27,8,2018,254167.573529412
127,67415405,775000.0,3.0,3076.0,4,9.33333333333333,1,14,0,-97.8952789306641,0,78733,1.98,2018-07-16,7,2018,981210.142857143
128,29353930,399000.0,2.0,2068.0,3,7.0,2,16,1,-97.7865982055664,1,78731,1.98,2018-05-03,5,2018,811224.095238095
129,80104364,681900.0,5.0,4597.0,4,8.33333333333333,2,17,1,-97.917121887207,1,78732,1.98,2018-04-26,4,2018,701210.957219251
130,29341393,1940000.0,4.0,5261.0,5,9.0,2,15,0,-97.810661315918,0,78746,1.98,2018-05-02,5,2018,1428643.18644068
131,29566857,175000.0,2.0,1723.0,3,7.66666666666667,1,14,1,-97.8114852905273,1,78750,2.21,2018-09-20,9,2018,546095.760416667
132,29368532,419900.0,3.0,2622.0,4,7.0,2,16,1,-97.8562316894531,1,78726,1.98,2018-08-17,8,2018,483669.983333333
133,58298927,258000.0,2.0,1096.0,2,7.0,1,17,1,-97.7869567871094,1,78750,1.98,2018-04-18,4,2018,546095.760416667
134,70352403,725000.0,4.0,4150.0,5,8.66666666666667,2,17,1,-97.9028396606445,1,78732,1.98,2018-02-22,2,2018,701210.957219251
135,29363427,550000.0,3.0,2489.0,4,7.0,1,17,1,-97.8043746948242,1,78750,1.98,2018-08-14,8,2018,546095.760416667
136,90240400,1095000.0,4.0,4616.0,5,8.0,2,14,0,-97.8798904418945,0,78733,1.98,2018-06-05,6,2018,981210.142857143
137,70330400,3500000.0,7.0,5650.0,5,8.0,2,14,0,-97.8583908081055,0,78733,1.98,2018-08-07,8,2018,981210.142857143
138,29368530,384900.0,3.0,2484.0,4,7.0,2,16,1,-97.8567657470703,1,78726,1.98,2018-06-08,6,2018,483669.983333333
139,111372365,239900.0,2.0,1650.0,3,3.66666666666667,1,11,2,-97.6253128051758,1,78724,1.98,2018-09-25,9,2018,254167.573529412
140,29344884,3250000.0,5.0,4800.0,3,7.0,1,16,1,-97.8178100585938,1,78730,1.98,2018-08-04,8,2018,937407.232876712
141,241931861,428900.0,3.0,2470.0,3,3.66666666666667,2,11,2,-97.6421585083008,1,78724,1.98,2018-08-24,8,2018,254167.573529412
142,121657728,194973.0,2.0,1426.0,3,3.0,1,13,1,-97.5785369873047,1,78725,1.98,2018-06-15,6,2018,200953.288461538
143,70352400,590000.0,4.0,3335.0,4,8.66666666666667,2,17,1,-97.9028167724609,1,78732,1.98,2018-06-16,6,2018,701210.957219251
144,29341382,699000.0,5.0,3649.0,4,9.0,2,15,0,-97.812370300293,0,78746,1.98,2018-03-31,3,2018,1428643.18644068
145,70992345,289000.0,3.0,1815.0,3,8.33333333333333,2,16,1,-97.7952194213867,1,78717,2.21,2018-04-18,4,2018,407792.52173913
146,70352399,649500.0,4.0,4172.0,5,8.66666666666667,2,17,1,-97.9028167724609,1,78732,1.98,2018-07-28,7,2018,701210.957219251
147,29462724,195000.0,3.0,1476.0,3,3.0,2,13,1,-97.5887832641602,1,78725,1.98,2018-10-30,10,2018,200953.288461538
148,29340875,1290000.0,4.0,3652.0,4,9.33333333333333,2,14,0,-97.8416061401367,0,78733,1.98,2018-09-29,9,2018,981210.142857143
149,83823333,810000.0,6.0,4326.0,5,8.66666666666667,2,17,1,-97.9078216552734,1,78732,1.98,2018-05-07,5,2018,701210.957219251
150,120900046,249990.0,2.0,1652.0,3,2.66666666666667,1,14,1,-97.662109375,1,78660,1.98,2018-08-17,8,2018,250109.625
151,70335832,475000.0,3.0,2746.0,4,8.66666666666667,1,17,1,-97.9077987670898,1,78732,1.98,2018-05-24,5,2018,701210.957219251
152,29370422,612000.0,3.0,3033.0,4,9.0,2,16,1,-97.7972640991211,1,78750,1.98,2018-02-22,2,2018,546095.760416667
153,70992334,199000.0,2.0,1626.0,3,8.33333333333333,1,16,1,-97.7943801879883,1,78717,2.21,2018-03-13,3,2018,407792.52173913
154,120897535,249087.0,3.0,2502.0,4,2.66666666666667,2,14,1,-97.6631774902344,1,78660,1.98,2018-09-28,9,2018,250109.625
155,80093353,225000.0,2.0,1442.0,3,3.66666666666667,1,11,2,-97.6314544677734,1,78724,1.98,2018-04-12,4,2018,254167.573529412
156,29351415,1249000.0,4.0,3427.0,3,7.0,1,16,1,-97.787239074707,1,78731,1.98,2018-10-11,10,2018,811224.095238095
157,29342397,585900.0,2.0,1686.0,4,8.0,1,14,0,-97.8748168945312,0,78733,1.98,2018-10-16,10,2018,981210.142857143
158,29368420,337000.0,3.0,2269.0,4,9.0,1,16,1,-97.802116394043,1,78750,1.98,2018-11-19,11,2018,546095.760416667
159,83828324,1649000.0,6.0,5555.0,4,8.33333333333333,2,17,1,-97.9134292602539,1,78732,1.98,2018-07-20,7,2018,701210.957219251
160,70348860,1399000.0,8.0,6038.0,5,7.0,2,16,1,-97.8156967163086,1,78730,1.98,2018-05-04,5,2018,937407.232876712
161,70345711,200000.0,3.0,1986.0,5,3.0,2,13,1,-97.5924987792969,1,78725,1.98,2018-07-13,7,2018,200953.288461538
162,145658498,410000.0,4.0,2526.0,3,3.66666666666667,2,11,2,-97.6429672241211,1,78724,1.98,2018-08-20,8,2018,254167.573529412
163,29360913,449000.0,3.0,2294.0,3,7.0,3,17,1,-97.7905578613281,1,78750,1.98,2018-05-30,5,2018,546095.760416667
164,185217321,315000.0,2.0,1837.0,3,8.33333333333333,1,16,1,-97.7941055297852,1,78717,2.21,2018-07-11,7,2018,407792.52173913
165,70345708,127926.0,2.0,1378.0,3,3.0,1,13,1,-97.5927200317383,1,78725,1.98,2018-05-22,5,2018,200953.288461538
166,2088560215,385990.0,3.0,2457.0,4,3.66666666666667,1,12,1,-97.7165145874023,1,78744,1.98,2018-10-27,10,2018,235868.018691589
167,29462708,180000.0,3.0,1467.0,3,3.0,2,13,1,-97.5900268554688,1,78725,1.98,2018-08-08,8,2018,200953.288461538
168,29344853,847000.0,4.0,3092.0,4,9.0,2,15,0,-97.8098449707031,0,78746,1.98,2018-08-25,8,2018,1428643.18644068
169,64640832,288500.0,2.0,1339.0,3,3.66666666666667,1,11,2,-97.6460266113281,1,78724,1.98,2018-10-26,10,2018,254167.573529412
170,55299479,595000.0,4.0,3062.0,4,8.0,1,15,0,-97.9594879150391,0,78737,2.01,2018-10-16,10,2018,531129.136690647
171,29370415,449000.0,2.0,1952.0,4,9.0,2,16,1,-97.7967376708984,1,78750,1.98,2018-05-12,5,2018,546095.760416667
172,120895893,749900.0,4.0,4318.0,4,8.33333333333333,2,17,1,-97.8912734985352,1,78732,1.98,2018-02-17,2,2018,701210.957219251
173,80094819,624900.0,5.0,4455.0,5,8.33333333333333,2,17,1,-97.9206008911133,1,78732,1.98,2018-03-02,3,2018,701210.957219251
174,29471186,250000.0,2.0,1680.0,3,3.33333333333333,1,14,1,-97.6809310913086,1,78719,1.98,2018-11-13,11,2018,250000.0
175,80106317,225000.0,2.0,1704.0,3,3.66666666666667,1,11,2,-97.6320495605469,1,78724,1.98,2018-05-26,5,2018,254167.573529412
176,29459805,200000.0,3.0,1815.0,4,3.0,2,13,1,-97.5854415893555,1,78725,1.98,2018-06-20,6,2018,200953.288461538
177,58298400,425000.0,3.0,1927.0,3,7.0,2,17,1,-97.7900772094727,1,78750,1.98,2018-04-25,4,2018,546095.760416667
178,29375910,599999.0,3.0,2550.0,3,8.66666666666667,1,16,1,-97.7982330322266,0,78750,1.98,2018-06-09,6,2018,546095.760416667
179,145658177,279000.0,2.0,1821.0,3,3.66666666666667,1,12,1,-97.6958084106445,1,78744,1.98,2018-12-05,12,2018,235868.018691589
180,29464187,179900.0,3.0,1748.0,3,3.0,2,13,1,-97.5904922485352,1,78725,1.98,2018-07-11,7,2018,200953.288461538
181,80104443,179900.0,2.0,1341.0,3,3.33333333333333,1,14,1,-97.6287231445312,1,78617,1.98,2018-10-24,10,2018,193990.482758621
182,70336887,999000.0,4.0,4095.0,5,5.66666666666667,2,16,1,-97.8763427734375,1,78735,1.98,2018-11-17,11,2018,979155.621052632
183,29361809,599750.0,3.0,2076.0,3,7.0,2,16,1,-97.9163818359375,1,78734,1.98,2018-12-20,12,2018,1036187.5
184,96645484,2750000.0,10.0,10611.0,6,8.0,2,14,0,-97.8556594848633,0,78733,1.98,2018-05-02,5,2018,981210.142857143
185,70330384,2650000.0,7.0,6530.0,5,8.0,2,14,0,-97.856330871582,0,78733,1.98,2018-10-15,10,2018,981210.142857143
186,120896822,750000.0,4.0,3004.0,3,7.0,3,16,1,-97.8257751464844,1,78730,1.98,2018-12-20,12,2018,937407.232876712
187,58300404,610000.0,3.0,4148.0,5,8.0,2,15,1,-97.8160095214844,1,78726,1.98,2018-06-27,6,2018,483669.983333333
188,80079467,549900.0,5.0,4679.0,5,8.0,3,15,0,-97.996711730957,0,78737,2.01,2018-06-23,6,2018,531129.136690647
189,29372402,414995.0,2.0,2047.0,3,8.66666666666667,1,16,1,-97.7980728149414,0,78750,1.98,2018-07-17,7,2018,546095.760416667
190,116080293,329000.0,2.0,1905.0,3,8.33333333333333,1,16,1,-97.7970886230469,1,78717,2.21,2018-06-02,6,2018,407792.52173913
191,70345672,119900.0,3.0,2074.0,5,3.0,2,13,1,-97.5930404663086,1,78725,1.98,2018-08-11,8,2018,200953.288461538
192,80107289,725000.0,4.0,4416.0,5,8.33333333333333,2,17,1,-97.9195709228516,1,78732,1.98,2018-11-20,11,2018,701210.957219251
